"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees<sup>*</sup>","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations<sup>**</sup>","Total refugees and people in refugee-like situations assisted by UNHCR"
"Switzerland","Lebanon","2015","44","","44",""
"Syrian Arab Rep.","Lebanon","2015","26","26","26","26"
"Turkey","Lebanon","2015","7","7","7","7"
"Ukraine","Lebanon","2015","7","","7",""
"United Kingdom","Lebanon","2015","129","","129",""
"United States","Lebanon","2015","413","","413",""
"Zambia","Lebanon","2015","6","6","6","6"
"Zimbabwe","Lebanon","2015","1","1","1","1"
"Armenia","Lebanon","2014","18","4","18","4"
"Australia","Lebanon","2014","393","","393",""
"Austria","Lebanon","2014","52","","52",""
"Belgium","Lebanon","2014","77","","77",""
"Brazil","Lebanon","2014","394","","394",""
"Bulgaria","Lebanon","2014","17","12","17","12"
"Canada","Lebanon","2014","1024","","1024",""
"Côte d'Ivoire","Lebanon","2014","1","1","1","1"
"Cyprus","Lebanon","2014","36","3","36","3"
"Denmark","Lebanon","2014","25","","25",""
"Ecuador","Lebanon","2014","6","6","6","6"
"Finland","Lebanon","2014","12","","12",""
"France","Lebanon","2014","108","","108",""
"Georgia","Lebanon","2014","1","1","1","1"
"Germany","Lebanon","2014","489","","489",""
"Ghana","Lebanon","2014","7","7","7","7"
"Greece","Lebanon","2014","9","","9",""
"Hungary","Lebanon","2014","13","","13",""
"Ireland","Lebanon","2014","13","","13",""
"Israel","Lebanon","2014","2","2","2","2"
"Italy","Lebanon","2014","310","","310",""
"Jordan","Lebanon","2014","2","2","2","2"
"Kuwait","Lebanon","2014","5","5","5","5"
"Luxembourg","Lebanon","2014","2","","2",""
"Malaysia","Lebanon","2014","3","3","3","3"
"Malta","Lebanon","2014","1","","1",""
"Mexico","Lebanon","2014","1","","1",""
"Nauru","Lebanon","2014","10","","10",""
"Netherlands","Lebanon","2014","37","","37",""
"New Zealand","Lebanon","2014","5","","5",""
"Norway","Lebanon","2014","38","","38",""
"Peru","Lebanon","2014","1","","1",""
"Philippines","Lebanon","2014","1","1","1","1"
"Poland","Lebanon","2014","2","","2",""
"Romania","Lebanon","2014","3","2","3","2"
"Russian Federation","Lebanon","2014","8","8","8","8"
"South Africa","Lebanon","2014","3","","3",""
"Spain","Lebanon","2014","2","","2",""
"Sweden","Lebanon","2014","511","","511",""
"Switzerland","Lebanon","2014","41","","41",""
"Syrian Arab Rep.","Lebanon","2014","22","22","22","22"
"Turkey","Lebanon","2014","7","7","7","7"
"Ukraine","Lebanon","2014","6","2","6","2"
"United Kingdom","Lebanon","2014","114","","114",""
"United States","Lebanon","2014","434","","434",""
"Zambia","Lebanon","2014","6","6","6","6"
"Zimbabwe","Lebanon","2014","1","1","1","1"
"Armenia","Lebanon","2013","17","3","17","3"
"Australia","Lebanon","2013","346","","346",""
"Austria","Lebanon","2013","50","","50",""
"Belgium","Lebanon","2013","66","","66",""
"Brazil","Lebanon","2013","34","5","34","5"
"Bulgaria","Lebanon","2013","12","6","12","6"
"Canada","Lebanon","2013","1103","","1103",""
"Côte d'Ivoire","Lebanon","2013","1","1","1","1"
"Cyprus","Lebanon","2013","32","","32",""
"Denmark","Lebanon","2013","35","","35",""
"Ecuador","Lebanon","2013","5","5","5","5"
"Finland","Lebanon","2013","12","","12",""
"France","Lebanon","2013","105","","105",""
"Germany","Lebanon","2013","449","","449",""
"Ghana","Lebanon","2013","7","7","7","7"
"Greece","Lebanon","2013","5","","5",""
"Hungary","Lebanon","2013","11","","11",""
"Ireland","Lebanon","2013","15","","15",""
"Israel","Lebanon","2013","2","2","2","2"
"Italy","Lebanon","2013","279","","279",""
"Jordan","Lebanon","2013","1","1","1","1"
"Kuwait","Lebanon","2013","5","5","5","5"
"Luxembourg","Lebanon","2013","2","","2",""
"Malaysia","Lebanon","2013","1","1","1","1"
"Mexico","Lebanon","2013","1","","1",""
"Netherlands","Lebanon","2013","41","","41",""
"New Zealand","Lebanon","2013","5","","5",""
"Norway","Lebanon","2013","44","","44",""
"Peru","Lebanon","2013","1","","1",""
"Philippines","Lebanon","2013","2","1","2","1"
"Poland","Lebanon","2013","3","","3",""
"Romania","Lebanon","2013","5","2","5","2"
"Russian Federation","Lebanon","2013","7","7","7","7"
"Spain","Lebanon","2013","1","","1",""
"Sweden","Lebanon","2013","453","","453",""
"Switzerland","Lebanon","2013","35","","35",""
"Syrian Arab Rep.","Lebanon","2013","25","25","25","25"
"Turkey","Lebanon","2013","4","4","4","4"
"Ukraine","Lebanon","2013","6","","6",""
"United Kingdom","Lebanon","2013","102","","102",""
"United States","Lebanon","2013","482","","482",""
"Zambia","Lebanon","2013","6","6","6","6"
"Zimbabwe","Lebanon","2013","1","1","1","1"
"Armenia","Lebanon","2012","14","","14",""
"Australia","Lebanon","2012","315","","315",""
"Austria","Lebanon","2012","46","","46",""
"Belgium","Lebanon","2012","87","","87",""
"Brazil","Lebanon","2012","29","","29",""
"Bulgaria","Lebanon","2012","7","","7",""
"Canada","Lebanon","2012","1104","","1104",""
"Côte d'Ivoire","Lebanon","2012","1","1","1","1"
"Cyprus","Lebanon","2012","32","","32",""
"Denmark","Lebanon","2012","56","","56",""
"Ecuador","Lebanon","2012","6","6","6","6"
"Finland","Lebanon","2012","11","","11",""
"France","Lebanon","2012","103","","103",""
"Germany","Lebanon","2012","11819","","11819",""
"Greece","Lebanon","2012","5","","5",""
"Hungary","Lebanon","2012","12","","12",""
"Iraq","Lebanon","2012","4","4","4","4"
"Ireland","Lebanon","2012","17","","17",""
"Israel","Lebanon","2012","2","2","2","2"
"Italy","Lebanon","2012","227","","227",""
"Jordan","Lebanon","2012","1","1","1","1"
"Kuwait","Lebanon","2012","3","3","3","3"
"Malaysia","Lebanon","2012","1","1","1","1"
"Mexico","Lebanon","2012","1","","1",""
"Netherlands","Lebanon","2012","46","","46",""
"New Zealand","Lebanon","2012","5","","5",""
"Norway","Lebanon","2012","37","","37",""
"Peru","Lebanon","2012","1","","1",""
"Philippines","Lebanon","2012","2","1","2","1"
"Poland","Lebanon","2012","4","","4",""
"Romania","Lebanon","2012","9","","9",""
"Russian Federation","Lebanon","2012","7","7","7","7"
"Spain","Lebanon","2012","1","","1",""
"Sweden","Lebanon","2012","380","","380",""
"Switzerland","Lebanon","2012","41","","41",""
"Syrian Arab Rep.","Lebanon","2012","30","30","30","30"
"Turkey","Lebanon","2012","6","6","6","6"
"Ukraine","Lebanon","2012","6","","6",""
"United Kingdom","Lebanon","2012","107","","107",""
"United States","Lebanon","2012","515","","515",""
"Zambia","Lebanon","2012","6","6","6","6"
"Armenia","Lebanon","2011","14","","14",""
"Australia","Lebanon","2011","271","","271",""
"Austria","Lebanon","2011","44","","44",""
"Belgium","Lebanon","2011","89","","89",""
"Brazil","Lebanon","2011","29","1","29","1"
"Bulgaria","Lebanon","2011","28","","28",""
"Canada","Lebanon","2011","1104","","1104",""
"Côte d'Ivoire","Lebanon","2011","1","1","1","1"
"Cyprus","Lebanon","2011","25","","25",""
"Denmark","Lebanon","2011","62","","62",""
"Ecuador","Lebanon","2011","5","5","5","5"
"Finland","Lebanon","2011","10","","10",""
"France","Lebanon","2011","100","","100",""
"Germany","Lebanon","2011","11697","","11697",""
"Hungary","Lebanon","2011","12","","12",""
"Ireland","Lebanon","2011","19","","19",""
"Israel","Lebanon","2011","2","2","2","2"
"Italy","Lebanon","2011","210","","210",""
"Jordan","Lebanon","2011","5","5","5","5"
"Malaysia","Lebanon","2011","1","1","1","1"
"Mexico","Lebanon","2011","1","","1",""
"Netherlands","Lebanon","2011","52","","52",""
"New Zealand","Lebanon","2011","10","","10",""
"Norway","Lebanon","2011","43","","43",""
"Philippines","Lebanon","2011","2","","2",""
"Poland","Lebanon","2011","4","","4",""
"Romania","Lebanon","2011","7","1","7","1"
"Russian Federation","Lebanon","2011","3","3","3","3"
"Spain","Lebanon","2011","1","","1",""
"Sweden","Lebanon","2011","415","","415",""
"Switzerland","Lebanon","2011","44","","44",""
"Syrian Arab Rep.","Lebanon","2011","27","27","27","27"
"Turkey","Lebanon","2011","2","2","2","2"
"Ukraine","Lebanon","2011","5","","5",""
"United Kingdom","Lebanon","2011","97","","97",""
"United States","Lebanon","2011","570","","570",""
"Zambia","Lebanon","2011","1","1","1","1"
"Zimbabwe","Lebanon","2011","1","1","1","1"
"Armenia","Lebanon","2010","14","","14",""
"Australia","Lebanon","2010","209","","209",""
"Austria","Lebanon","2010","36","","36",""
"Belgium","Lebanon","2010","62","","62",""
"Brazil","Lebanon","2010","29","1","29","1"
"Bulgaria","Lebanon","2010","28","","28",""
"Canada","Lebanon","2010","1133","","1133",""
"Côte d'Ivoire","Lebanon","2010","1","1","1","1"
"Cyprus","Lebanon","2010","25","","25",""
"Denmark","Lebanon","2010","75","","75",""
"Ecuador","Lebanon","2010","5","5","5","5"
"Finland","Lebanon","2010","10","","10",""
"France","Lebanon","2010","101","","101",""
"Germany","Lebanon","2010","12514","","12514",""
"Greece","Lebanon","2010","1","","1",""
"Hungary","Lebanon","2010","13","","13",""
"Ireland","Lebanon","2010","21","","21",""
"Italy","Lebanon","2010","214","","214",""
"Jordan","Lebanon","2010","5","5","5","5"
"Malaysia","Lebanon","2010","1","1","1","1"
"Mexico","Lebanon","2010","1","","1",""
"Netherlands","Lebanon","2010","61","","61",""
"New Zealand","Lebanon","2010","12","","12",""
"Norway","Lebanon","2010","45","","45",""
"Philippines","Lebanon","2010","2","","2",""
"Poland","Lebanon","2010","4","","4",""
"Romania","Lebanon","2010","7","4","7","4"
"Russian Federation","Lebanon","2010","3","3","3","3"
"Spain","Lebanon","2010","1","","1",""
"Sweden","Lebanon","2010","454","","454",""
"Switzerland","Lebanon","2010","50","","50",""
"Syrian Arab Rep.","Lebanon","2010","18","18","18","18"
"Turkey","Lebanon","2010","1","1","1","1"
"Ukraine","Lebanon","2010","4","","4",""
"United Kingdom","Lebanon","2010","87","","87",""
"United States","Lebanon","2010","613","","613",""
"Zambia","Lebanon","2010","8","","8",""
"Zimbabwe","Lebanon","2010","1","1","1","1"
"Armenia","Lebanon","2009","14","","14",""
"Australia","Lebanon","2009","183","","183",""
"Austria","Lebanon","2009","33","","33",""
"Belgium","Lebanon","2009","50","","50",""
"Brazil","Lebanon","2009","29","1","29","1"
"Bulgaria","Lebanon","2009","27","","27",""
"Canada","Lebanon","2009","1128","","1128",""
"Côte d'Ivoire","Lebanon","2009","1","1","1","1"
"Cyprus","Lebanon","2009","20","","20",""
"Denmark","Lebanon","2009","80","","80",""
"Ecuador","Lebanon","2009","5","5","5","5"
"Finland","Lebanon","2009","11","","11",""
"France","Lebanon","2009","98","","98",""
"Germany","Lebanon","2009","12950","","12950",""
"Greece","Lebanon","2009","2","","2",""
"Hungary","Lebanon","2009","6","6","6","6"
"Ireland","Lebanon","2009","19","","19",""
"Italy","Lebanon","2009","194","","194",""
"Jordan","Lebanon","2009","5","5","5","5"
"Malaysia","Lebanon","2009","","","1","1"
"Mexico","Lebanon","2009","1","","1",""
"Netherlands","Lebanon","2009","69","","69",""
"New Zealand","Lebanon","2009","11","","11",""
"Norway","Lebanon","2009","48","","48",""
"Philippines","Lebanon","2009","1","","1",""
"Poland","Lebanon","2009","2","","2",""
"Romania","Lebanon","2009","8","1","8","1"
"Russian Federation","Lebanon","2009","6","6","6","6"
"Spain","Lebanon","2009","1","","1",""
"Sweden","Lebanon","2009","445","","445",""
"Switzerland","Lebanon","2009","57","","57",""
"Syrian Arab Rep.","Lebanon","2009","4","4","4","4"
"Turkey","Lebanon","2009","1","1","1","1"
"Ukraine","Lebanon","2009","4","2","4","2"
"United Kingdom","Lebanon","2009","73","","73",""
"United States","Lebanon","2009","663","","663",""
"Zambia","Lebanon","2009","9","","9",""
"Zimbabwe","Lebanon","2009","1","1","1","1"
"Armenia","Lebanon","2008","14","","14",""
"Australia","Lebanon","2008","170","","170",""
"Austria","Lebanon","2008","27","","27",""
"Belgium","Lebanon","2008","41","","41",""
"Brazil","Lebanon","2008","27","","27",""
"Bulgaria","Lebanon","2008","27","","27",""
"Canada","Lebanon","2008","1190","","1190",""
"Côte d'Ivoire","Lebanon","2008","1","1","1","1"
"Cyprus","Lebanon","2008","20","","20",""
"Denmark","Lebanon","2008","97","","97",""
"Ecuador","Lebanon","2008","4","4","4","4"
"Finland","Lebanon","2008","11","","11",""
"France","Lebanon","2008","89","","89",""
"Germany","Lebanon","2008","9650","","9650",""
"Greece","Lebanon","2008","26","","26",""
"Hungary","Lebanon","2008","6","6","6","6"
"Iraq","Lebanon","2008","4","4","4","4"
"Ireland","Lebanon","2008","19","","19",""
"Italy","Lebanon","2008","166","","166",""
"Jordan","Lebanon","2008","5","5","5","5"
"Malaysia","Lebanon","2008","","","1","1"
"Mexico","Lebanon","2008","1","","1",""
"Netherlands","Lebanon","2008","79","","79",""
"New Zealand","Lebanon","2008","11","","11",""
"Norway","Lebanon","2008","45","","45",""
"Poland","Lebanon","2008","4","","4",""
"Romania","Lebanon","2008","8","","8",""
"Russian Federation","Lebanon","2008","9","9","9","9"
"Spain","Lebanon","2008","1","","1",""
"Sweden","Lebanon","2008","424","","424",""
"Switzerland","Lebanon","2008","47","","47",""
"Syrian Arab Rep.","Lebanon","2008","4","4","4","4"
"Turkey","Lebanon","2008","1","1","1","1"
"Ukraine","Lebanon","2008","4","","4",""
"United Kingdom","Lebanon","2008","69","","69",""
"United States","Lebanon","2008","655","","655",""
"Zambia","Lebanon","2008","9","","9",""
"Zimbabwe","Lebanon","2008","1","1","1","1"
"Argentina","Lebanon","2007","4","","4",""
"Armenia","Lebanon","2007","14","14","14","14"
"Australia","Lebanon","2007","433","","433",""
"Austria","Lebanon","2007","30","","30",""
"Belgium","Lebanon","2007","28","","28",""
"Brazil","Lebanon","2007","27","","27",""
"Bulgaria","Lebanon","2007","26","","26",""
"Canada","Lebanon","2007","1218","","1218",""
"Côte d'Ivoire","Lebanon","2007","1","1","1","1"
"Cyprus","Lebanon","2007","20","","20",""
"Denmark","Lebanon","2007","127","","127",""
"Ecuador","Lebanon","2007","2","2","2","2"
"Finland","Lebanon","2007","9","","9",""
"France","Lebanon","2007","86","","86",""
"Germany","Lebanon","2007","9485","","9485",""
"Greece","Lebanon","2007","40","","40",""
"Hungary","Lebanon","2007","7","7","7","7"
"Ireland","Lebanon","2007","18","","18",""
"Italy","Lebanon","2007","129","","129",""
"Jordan","Lebanon","2007","4","4","4","4"
"Malaysia","Lebanon","2007","","","1",""
"Mexico","Lebanon","2007","1","","1",""
"Netherlands","Lebanon","2007","96","","96",""
"New Zealand","Lebanon","2007","10","","10",""
"Norway","Lebanon","2007","38","","38",""
"Poland","Lebanon","2007","4","","4",""
"Romania","Lebanon","2007","8","1","8","1"
"Russian Federation","Lebanon","2007","2","2","2","2"
"Sweden","Lebanon","2007","435","","435",""
"Switzerland","Lebanon","2007","33","","33",""
"Syrian Arab Rep.","Lebanon","2007","4","4","4","4"
"Turkey","Lebanon","2007","1","1","1","1"
"Ukraine","Lebanon","2007","4","","4",""
"United Kingdom","Lebanon","2007","64","","64",""
"United States","Lebanon","2007","684","","684",""
"Zimbabwe","Lebanon","2007","1","","1",""
"Argentina","Lebanon","2006","4","","4",""
"Armenia","Lebanon","2006","14","14","14","14"
"Australia","Lebanon","2006","307","","307",""
"Austria","Lebanon","2006","10","","10",""
"Belgium","Lebanon","2006","14","","14",""
"Brazil","Lebanon","2006","27","","27",""
"Bulgaria","Lebanon","2006","23","","23",""
"Canada","Lebanon","2006","684","","684",""
"Cyprus","Lebanon","2006","16","","16",""
"Denmark","Lebanon","2006","145","","145",""
"Ecuador","Lebanon","2006","1","1","1","1"
"Finland","Lebanon","2006","4","","4",""
"France","Lebanon","2006","84","","84",""
"Germany","Lebanon","2006","9336","","9336",""
"Greece","Lebanon","2006","42","","42",""
"Hungary","Lebanon","2006","5","","5",""
"Iceland","Lebanon","2006","1","","1",""
"Ireland","Lebanon","2006","12","","12",""
"Italy","Lebanon","2006","54","","54",""
"Jordan","Lebanon","2006","5","5","5","5"
"Malaysia","Lebanon","2006","5","5","5","5"
"Mexico","Lebanon","2006","2","","2",""
"Netherlands","Lebanon","2006","139","","139",""
"New Zealand","Lebanon","2006","8","","8",""
"Norway","Lebanon","2006","37","","37",""
"Poland","Lebanon","2006","4","","4",""
"Rep. of Moldova","Lebanon","2006","1","1","1","1"
"Romania","Lebanon","2006","7","1","7","1"
"Russian Federation","Lebanon","2006","5","5","5","5"
"Spain","Lebanon","2006","1","","1",""
"Sweden","Lebanon","2006","440","","440",""
"Switzerland","Lebanon","2006","32","","32",""
"Syrian Arab Rep.","Lebanon","2006","5","","5",""
"Ukraine","Lebanon","2006","4","","4",""
"United Kingdom","Lebanon","2006","100","","100",""
"United States","Lebanon","2006","674","","674",""
"Argentina","Lebanon","2005","4","","4",""
"Australia","Lebanon","2005","346","","346",""
"Austria","Lebanon","2005","11","","11",""
"Belgium","Lebanon","2005","22","","22",""
"Brazil","Lebanon","2005","38","2","38","2"
"Bulgaria","Lebanon","2005","23","","23",""
"Canada","Lebanon","2005","591","","591",""
"Cyprus","Lebanon","2005","16","","16",""
"Denmark","Lebanon","2005","151","","151",""
"Ecuador","Lebanon","2005","1","1","1","1"
"Finland","Lebanon","2005","3","","3",""
"France","Lebanon","2005","83","","83",""
"Germany","Lebanon","2005","15619","","15619",""
"Greece","Lebanon","2005","57","23","57","23"
"Hungary","Lebanon","2005","6","","6",""
"Iceland","Lebanon","2005","1","","1",""
"Ireland","Lebanon","2005","10","","10",""
"Italy","Lebanon","2005","23","","23",""
"Jordan","Lebanon","2005","4","4","4","4"
"Mexico","Lebanon","2005","2","","2",""
"Netherlands","Lebanon","2005","176","","176",""
"New Zealand","Lebanon","2005","10","","10",""
"Norway","Lebanon","2005","39","","39",""
"Poland","Lebanon","2005","4","","4",""
"Romania","Lebanon","2005","5","","5",""
"Russian Federation","Lebanon","2005","5","5","5","5"
"Spain","Lebanon","2005","1","","1",""
"Sweden","Lebanon","2005","451","","451",""
"Switzerland","Lebanon","2005","34","","34",""
"Syrian Arab Rep.","Lebanon","2005","4","","4",""
"Ukraine","Lebanon","2005","4","","4",""
"United Kingdom","Lebanon","2005","193","","193",""
"United States","Lebanon","2005","386","","386",""
"Argentina","Lebanon","2004","4","","4",""
"Australia","Lebanon","2004","306","","306",""
"Austria","Lebanon","2004","17","","17",""
"Belgium","Lebanon","2004","34","","34",""
"Brazil","Lebanon","2004","14","","14",""
"Bulgaria","Lebanon","2004","27","","27",""
"Canada","Lebanon","2004","510","","510",""
"Cyprus","Lebanon","2004","12","6","12","6"
"Denmark","Lebanon","2004","163","","163",""
"Ecuador","Lebanon","2004","1","1","1","1"
"Finland","Lebanon","2004","2","","2",""
"France","Lebanon","2004","79","","79",""
"Germany","Lebanon","2004","17302","","17302",""
"Greece","Lebanon","2004","64","11","64","11"
"Hungary","Lebanon","2004","5","","5",""
"Iceland","Lebanon","2004","1","","1",""
"Ireland","Lebanon","2004","10","","10",""
"Italy","Lebanon","2004","23","","23",""
"Jordan","Lebanon","2004","4","4","4","4"
"Malta","Lebanon","2004","1","","1",""
"Mexico","Lebanon","2004","2","2","2","2"
"Netherlands","Lebanon","2004","206","","206",""
"New Zealand","Lebanon","2004","7","","7",""
"Norway","Lebanon","2004","31","","31",""
"Poland","Lebanon","2004","5","","5",""
"Romania","Lebanon","2004","5","4","5","4"
"Spain","Lebanon","2004","1","","1",""
"Sweden","Lebanon","2004","406","","406",""
"Switzerland","Lebanon","2004","38","","38",""
"Syrian Arab Rep.","Lebanon","2004","7","","7",""
"Turkey","Lebanon","2004","1","1","1","1"
"Ukraine","Lebanon","2004","2","","2",""
"United Kingdom","Lebanon","2004","206","","206",""
"United States","Lebanon","2004","367","","367",""
"Zimbabwe","Lebanon","2004","2","2","2","2"
"Argentina","Lebanon","2003","4","","4",""
"Australia","Lebanon","2003","262","","262",""
"Austria","Lebanon","2003","21","","21",""
"Belgium","Lebanon","2003","32","","32",""
"Brazil","Lebanon","2003","14","","14",""
"Bulgaria","Lebanon","2003","22","","22",""
"Canada","Lebanon","2003","521","","521",""
"Cyprus","Lebanon","2003","6","6","6","6"
"Denmark","Lebanon","2003","165","","165",""
"Ecuador","Lebanon","2003","1","1","1","1"
"Finland","Lebanon","2003","5","","5",""
"France","Lebanon","2003","76","","76",""
"Germany","Lebanon","2003","18410","","18410",""
"Greece","Lebanon","2003","62","4","62","4"
"Hungary","Lebanon","2003","3","","3",""
"Iceland","Lebanon","2003","1","","1",""
"Ireland","Lebanon","2003","8","","8",""
"Israel","Lebanon","2003","3909","","3909",""
"Italy","Lebanon","2003","24","","24",""
"Liberia","Lebanon","2003","12","","12",""
"Mexico","Lebanon","2003","2","1","2","1"
"Netherlands","Lebanon","2003","212","","212",""
"New Zealand","Lebanon","2003","7","","7",""
"Norway","Lebanon","2003","33","","33",""
"Poland","Lebanon","2003","18","","18",""
"Romania","Lebanon","2003","4","","4",""
"Spain","Lebanon","2003","1","","1",""
"Sweden","Lebanon","2003","462","","462",""
"Switzerland","Lebanon","2003","55","","55",""
"Ukraine","Lebanon","2003","2","","2",""
"United Kingdom","Lebanon","2003","229","","229",""
"United States","Lebanon","2003","349","","349",""
"Argentina","Lebanon","2002","3","","3",""
"Australia","Lebanon","2002","507","","507",""
"Austria","Lebanon","2002","33","","33",""
"Belgium","Lebanon","2002","40","","40",""
"Brazil","Lebanon","2002","14","","14",""
"Bulgaria","Lebanon","2002","22","","22",""
"Canada","Lebanon","2002","560","","560",""
"Cyprus","Lebanon","2002","6","","6",""
"Denmark","Lebanon","2002","166","","166",""
"Ecuador","Lebanon","2002","1","1","1","1"
"Finland","Lebanon","2002","6","","6",""
"France","Lebanon","2002","76","","76",""
"Germany","Lebanon","2002","19035","","19035",""
"Greece","Lebanon","2002","64","3","64","3"
"Hungary","Lebanon","2002","3","","3",""
"Iceland","Lebanon","2002","1","","1",""
"Ireland","Lebanon","2002","1","","1",""
"Israel","Lebanon","2002","3909","","3909",""
"Italy","Lebanon","2002","24","","24",""
"Liberia","Lebanon","2002","12","","12",""
"Mexico","Lebanon","2002","2","1","2","1"
"Netherlands","Lebanon","2002","206","","206",""
"New Zealand","Lebanon","2002","7","","7",""
"Norway","Lebanon","2002","60","","60",""
"Poland","Lebanon","2002","17","","17",""
"Romania","Lebanon","2002","2","","2",""
"Spain","Lebanon","2002","2","","2",""
"Sweden","Lebanon","2002","481","","481",""
"Switzerland","Lebanon","2002","63","","63",""
"Ukraine","Lebanon","2002","2","","2",""
"United Kingdom","Lebanon","2002","495","","495",""
"United States","Lebanon","2002","500","","500",""
"Argentina","Lebanon","2001","3","","3",""
"Australia","Lebanon","2001","431","","431",""
"Austria","Lebanon","2001","37","","37",""
"Belgium","Lebanon","2001","26","","26",""
"Brazil","Lebanon","2001","19","6","19","6"
"Bulgaria","Lebanon","2001","25","","25",""
"Canada","Lebanon","2001","653","","653",""
"Cyprus","Lebanon","2001","4","4","4","4"
"Denmark","Lebanon","2001","218","","218",""
